date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,16,13,13,19,14,0
2020-02-16,11,8,7,12,12,0
2020-02-17,12,8,11,16,13,-1
2020-02-18,15,12,13,15,11,-1
2020-02-19,11,10,8,12,11,0
2020-02-20,9,6,7,11,9,1
2020-02-21,14,12,16,13,11,0
2020-02-22,11,10,10,17,13,0
2020-02-23,11,12,9,14,13,0
2020-02-24,9,10,11,15,13,-1
2020-02-25,1,5,0,5,7,1
2020-02-26,8,16,8,12,7,1
2020-02-27,5,11,7,12,2,3
2020-02-28,7,14,10,10,13,1
2020-02-29,12,15,12,15,10,1
2020-03-01,7,13,3,6,5,2
2020-03-02,9,17,9,10,5,2
2020-03-03,11,17,10,5,3,2
2020-03-04,11,19,13,5,1,2
2020-03-05,0,10,6,1,-4,4
2020-03-06,-2,9,7,-4,9,1
2020-03-07,2,11,5,2,8,3
2020-03-08,4,13,5,-1,1,4
2020-03-09,-1,11,6,2,-1,4
2020-03-10,-1,12,7,0,-3,4
2020-03-11,-5,13,3,-3,-7,5
2020-03-12,-14,6,-3,-10,-7,6
2020-03-13,-21,6,-12,-17,6,4
2020-03-14,-28,-11,-20,-24,-8,7
2020-03-15,-24,2,-15,-23,-20,10
2020-03-16,-30,-1,-16,-19,-22,9
2020-03-17,-32,-6,-18,-31,-25,9
2020-03-18,-58,-35,-38,-55,-49,16
2020-03-19,-62,-38,-42,-57,-49,19
2020-03-20,-64,-40,-46,-59,-27,14
2020-03-21,-67,-48,-45,-62,-49,17
2020-03-22,-65,-41,-48,-64,-57,20
2020-03-23,-67,-42,-45,-63,-56,19
2020-03-24,-66,-42,-45,-62,-56,20
2020-03-25,-67,-42,-47,-61,-57,20
2020-03-26,-69,-45,-50,-62,-56,23
2020-03-27,-68,-46,-51,-61,-33,17
2020-03-28,-68,-47,-50,-62,-48,19
2020-03-29,-64,-42,-48,-61,-55,21
2020-03-30,-66,-43,-47,-60,-57,20
2020-03-31,-62,-36,-42,-58,-55,19
2020-04-01,-63,-38,-44,-60,-55,19
2020-04-02,-65,-40,-45,-59,-54,22
2020-04-03,-65,-41,-47,-58,-29,15
2020-04-04,-64,-42,-45,-60,-45,18
2020-04-05,-65,-43,-47,-62,-55,21
2020-04-06,-67,-45,-47,-60,-56,20
2020-04-07,-61,-35,-41,-56,-53,19
2020-04-08,-62,-36,-42,-58,-52,19
2020-04-09,-66,-41,-46,-61,-52,22
2020-04-10,-64,-40,-46,-60,-27,16
2020-04-11,-60,-37,-40,-58,-38,17
2020-04-12,-57,-32,-41,-58,-49,19
2020-04-13,-58,-33,-38,-52,-48,18
2020-04-14,-57,-31,-37,-54,-48,18
2020-04-15,-57,-29,-37,-51,-47,18
2020-04-16,-59,-32,-40,-54,-46,20
2020-04-17,-58,-32,-41,-54,-19,14
2020-04-18,-53,-31,-36,-49,-31,15
2020-04-19,-47,-23,-33,-47,-40,16
2020-04-20,-49,-24,-32,-44,-39,15
2020-04-21,-38,-14,-25,-36,-30,12
2020-04-22,-35,-10,-25,-34,-29,11
2020-04-23,-37,-11,-26,-35,-29,13
2020-04-24,-56,-32,-43,-55,-21,15
2020-04-25,-55,-35,-39,-53,-29,17
2020-04-26,-35,-15,-27,-37,-26,15
2020-04-27,-38,-16,-26,-38,-26,14
2020-04-28,-35,-12,-23,-35,-25,12
2020-04-29,-35,-11,-23,-34,-26,14
2020-04-30,-40,-16,-26,-36,-25,16
2020-05-01,-54,-31,-41,-52,-16,14
2020-05-02,-48,-28,-31,-46,-23,15
2020-05-03,-29,-8,-19,-32,-22,13
2020-05-04,-36,-14,-22,-35,-24,12
2020-05-05,-36,-13,-23,-34,-23,13
2020-05-06,-32,-4,-21,-30,-22,13
2020-05-07,-32,-4,-21,-26,-20,15
2020-05-08,-42,-13,-30,-36,-5,12
2020-05-09,-38,-14,-24,-32,-16,13
2020-05-10,-15,10,-11,-15,-16,12
2020-05-11,-17,9,-8,-13,-15,11
2020-05-12,-15,12,-8,-13,-15,12
2020-05-13,-18,9,-11,-16,-16,12
2020-05-14,-25,0,-16,-18,-18,13
2020-05-15,-36,-9,-26,-28,-4,13
2020-05-16,-29,-6,-17,-24,-12,13
2020-05-17,-15,7,-12,-15,-16,12
2020-05-18,-17,6,-11,-15,-16,11
2020-05-19,-15,8,-11,-14,-16,11
2020-05-20,-13,13,-10,-13,-17,12
2020-05-21,-14,13,-11,-9,-18,13
2020-05-22,-25,3,-22,-21,0,12
2020-05-23,-22,2,-15,-18,-17,14
2020-05-24,-47,-22,-33,-43,-49,18
2020-05-25,-46,-23,-24,-40,-48,15
2020-05-26,-45,-21,-23,-39,-47,14
2020-05-27,-34,-11,-19,-32,-39,14
2020-05-28,-40,-17,-25,-34,-37,17
2020-05-29,-39,-17,-25,-34,-4,11
2020-05-30,-32,-13,-20,-29,-14,12
2020-05-31,-30,-10,-21,-29,-28,14
2020-06-01,-30,-3,-23,-25,-27,13
2020-06-02,-47,-24,-33,-42,-37,16
2020-06-03,-40,-15,-29,-34,-34,16
2020-06-04,-38,-14,-25,-31,-28,16
2020-06-05,-36,-13,-25,-31,0,11
2020-06-06,-30,-9,-19,-27,-10,12
2020-06-07,-30,-8,-20,-29,-25,14
2020-06-08,-34,-12,-23,-29,-26,13
2020-06-09,-35,-13,-26,-35,-27,13
2020-06-10,-34,-9,-24,-33,-29,14
2020-06-11,-36,-13,-26,-35,-28,16
2020-06-12,-38,-15,-27,-37,-3,11
2020-06-13,-31,-10,-21,-31,-11,12
2020-06-14,-18,-1,-14,-24,-19,12
2020-06-15,-21,-2,-15,-23,-18,10
2020-06-16,-20,0,-15,-23,-18,10
2020-06-17,-22,0,-17,-24,-21,10
2020-06-18,-42,-22,-30,-41,-31,16
2020-06-19,-43,-23,-32,-42,-8,12
2020-06-20,-36,-16,-25,-35,-14,11
2020-06-21,-24,-5,-21,-30,-23,12
2020-06-22,-27,-7,-21,-28,-25,12
2020-06-23,-31,-13,-26,-34,-28,14
2020-06-24,-32,-11,-28,-36,-29,14
2020-06-25,-48,-28,-37,-47,-39,19
2020-06-26,-51,-30,-39,-50,-18,14
2020-06-27,-48,-28,-35,-49,-25,15
2020-06-28,-36,-17,-30,-38,-32,15
2020-06-29,-35,-14,-28,-36,-32,14
2020-06-30,-42,-21,-33,-41,-35,15
2020-07-01,-41,-20,-33,-40,-35,15
2020-07-02,-51,-29,-37,-45,-41,19
2020-07-03,-51,-29,-38,-48,-18,14
2020-07-04,-44,-25,-33,-42,-24,14
2020-07-05,-25,-5,-21,-30,-25,13
2020-07-06,-24,-3,-19,-26,-25,11
2020-07-07,-22,1,-18,-24,-25,11
2020-07-08,-24,-1,-19,-27,-25,11
2020-07-09,-38,-15,-28,-36,-34,16
2020-07-10,-46,-24,-34,-45,-16,12
2020-07-11,-34,-13,-26,-35,-19,13
2020-07-12,-17,2,-15,-23,-24,12
2020-07-13,-20,1,-15,-23,-24,11
2020-07-14,-20,1,-17,-26,-33,13
2020-07-15,-19,3,-16,-21,-24,11
2020-07-16,-35,-12,-27,-35,-33,17
2020-07-17,-39,-17,-30,-40,-12,12
2020-07-18,-29,-8,-23,-31,-16,12
2020-07-19,-13,5,-12,-22,-22,11
2020-07-20,-17,3,-15,-20,-23,10
2020-07-21,-17,1,-14,-23,-23,11
2020-07-22,-17,3,-16,-22,-23,11
2020-07-23,-35,-12,-25,-32,-32,16
2020-07-24,-37,-16,-27,-37,-12,12
2020-07-25,-30,-11,-21,-30,-17,12
2020-07-26,-12,6,-12,-22,-22,11
2020-07-27,-13,6,-9,-18,-22,10
2020-07-28,-8,12,-7,-12,-22,10
2020-07-29,4,28,-1,-3,-23,9
2020-07-30,-21,9,-17,-17,-39,17
2020-07-31,-35,-13,-22,-37,-15,10
2020-08-01,-31,-13,-14,-31,-36,12
2020-08-02,-28,-8,-16,-35,-51,15
2020-08-03,-30,-8,-14,-32,-48,14
2020-08-04,-25,-1,-15,-25,-39,14
2020-08-05,-26,0,-19,-27,-37,14
2020-08-06,-33,-9,-22,-27,-37,16
2020-08-07,-36,-14,-25,-34,-11,11
2020-08-08,-27,-8,-19,-22,-16,12
2020-08-09,-10,8,-8,-16,-22,10
2020-08-10,-13,8,-7,-12,-22,10
2020-08-11,-12,6,-6,-16,-23,10
2020-08-12,-13,10,-9,-14,-24,10
2020-08-13,-31,-7,-19,-23,-33,15
2020-08-14,-32,-8,-22,-29,-11,11
2020-08-15,-24,-3,-14,-19,-15,11
2020-08-16,-7,10,-7,-13,-22,10
2020-08-17,-13,7,-7,-11,-21,9
2020-08-18,-12,9,-7,-11,-22,9
2020-08-19,-13,10,-9,-11,-22,9
2020-08-20,-24,-2,-17,-20,-31,14
2020-08-21,-23,-2,-14,-23,-6,9
2020-08-22,-14,5,-8,-12,-7,9
2020-08-23,-8,10,-7,-9,-20,10
2020-08-24,-10,10,-4,-6,-19,9
2020-08-25,-7,13,-2,-6,-20,9
2020-08-26,-7,16,-3,-4,-19,9
2020-08-27,-16,6,-9,-9,-23,11
2020-08-28,-16,7,-8,-14,-3,7
2020-08-29,-11,10,-2,-4,-8,7
2020-08-30,-26,-10,-15,-26,-46,11
2020-08-31,-10,9,-5,-7,-20,7
2020-09-01,-8,10,-5,-9,-21,7
2020-09-02,-11,8,-8,-11,-21,8
2020-09-03,-15,3,-9,-11,-23,10
2020-09-04,-14,5,-8,-16,-7,7
2020-09-05,-7,10,-3,-8,-8,7
2020-09-06,-4,13,-4,-8,-20,8
2020-09-07,-6,11,-3,-4,-21,7
2020-09-08,-4,14,-1,-2,-21,7
2020-09-09,-7,11,-3,-6,-20,7
2020-09-10,-12,6,-3,-6,-22,8
2020-09-11,-11,6,-2,-11,-7,5
2020-09-12,-6,10,1,-6,-7,5
2020-09-13,-2,16,-1,-5,-18,7
2020-09-14,-5,9,2,-3,-16,6
2020-09-15,-3,13,1,-3,-16,6
2020-09-16,-4,12,-3,-4,-17,7
2020-09-17,-14,1,-7,-9,-20,9
2020-09-18,-13,2,-6,-15,-6,6
2020-09-19,-7,8,-1,-7,-6,7
