date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,2.0,4.0,44.0,9.0,1.0,-1.0
2020-02-16,9.0,2.0,29.0,14.0,1.0,-2.0
2020-02-17,2.0,0.0,15.0,0.0,-14.0,3.0
2020-02-18,3.0,2.0,12.0,0.0,-13.0,3.0
2020-02-19,3.0,0.0,18.0,-1.0,-14.0,2.0
2020-02-20,2.0,2.0,17.0,2.0,-15.0,2.0
2020-02-21,-3.0,1.0,7.0,-1.0,-15.0,3.0
2020-02-22,-6.0,-2.0,-11.0,1.0,-1.0,0.0
2020-02-23,0.0,2.0,8.0,1.0,1.0,-1.0
2020-02-24,3.0,5.0,18.0,4.0,2.0,0.0
2020-02-25,-2.0,2.0,-5.0,3.0,3.0,0.0
2020-02-26,2.0,5.0,15.0,3.0,3.0,0.0
2020-02-27,-2.0,5.0,-11.0,0.0,1.0,1.0
2020-02-28,-4.0,8.0,2.0,-2.0,2.0,1.0
2020-02-29,-8.0,0.0,15.0,-2.0,2.0,1.0
2020-03-01,-4.0,-1.0,30.0,0.0,2.0,0.0
2020-03-02,-2.0,-1.0,24.0,2.0,2.0,1.0
2020-03-03,1.0,1.0,15.0,1.0,3.0,0.0
2020-03-04,-2.0,1.0,9.0,-2.0,2.0,1.0
2020-03-05,-1.0,1.0,19.0,2.0,2.0,0.0
2020-03-06,1.0,6.0,46.0,8.0,3.0,-1.0
2020-03-07,1.0,7.0,21.0,5.0,2.0,0.0
2020-03-08,13.0,18.0,58.0,13.0,6.0,-2.0
2020-03-09,0.0,1.0,30.0,1.0,1.0,0.0
2020-03-10,14.0,17.0,40.0,9.0,1.0,-2.0
2020-03-11,-14.0,-10.0,44.0,-32.0,-73.0,20.0
2020-03-12,-5.0,11.0,-10.0,-6.0,-1.0,1.0
2020-03-13,-16.0,9.0,8.0,-18.0,-18.0,7.0
2020-03-14,-28.0,1.0,-15.0,-27.0,-8.0,6.0
2020-03-15,-13.0,13.0,51.0,-19.0,-3.0,2.0
2020-03-16,-46.0,-18.0,5.0,-42.0,-36.0,15.0
2020-03-17,-50.0,-23.0,48.0,-44.0,-45.0,17.0
2020-03-18,-54.0,-27.0,41.0,-48.0,-48.0,19.0
2020-03-19,-55.0,-27.0,30.0,-51.0,-49.0,19.0
2020-03-20,-62.0,-13.0,25.0,-52.0,-48.0,21.0
2020-03-21,-69.0,-25.0,0.0,-54.0,-35.0,13.0
2020-03-22,-68.0,-27.0,7.0,-55.0,-31.0,10.0
2020-03-23,-62.0,-22.0,25.0,-54.0,-50.0,20.0
2020-03-24,-63.0,-23.0,28.0,-55.0,-52.0,21.0
2020-03-25,-64.0,-25.0,37.0,-55.0,-53.0,21.0
2020-03-26,-64.0,-27.0,36.0,-55.0,-53.0,21.0
2020-03-27,-64.0,-23.0,43.0,-55.0,-52.0,22.0
2020-03-28,-67.0,-27.0,62.0,-46.0,-34.0,9.0
2020-03-29,-72.0,-38.0,-28.0,-63.0,-33.0,11.0
2020-03-30,-64.0,-29.0,3.0,-60.0,-53.0,22.0
2020-03-31,-63.0,-26.0,7.0,-58.0,-53.0,22.0
2020-04-01,-66.0,-31.0,-19.0,-62.0,-54.0,23.0
2020-04-02,-66.0,-30.0,-20.0,-62.0,-55.0,24.0
2020-04-03,-65.0,-24.0,-11.0,-60.0,-53.0,24.0
2020-04-04,-67.0,-27.0,3.0,-54.0,-34.0,13.0
2020-04-05,-63.0,-26.0,63.0,-49.0,-28.0,8.0
2020-04-06,-58.0,-24.0,74.0,-51.0,-52.0,19.0
2020-04-07,-56.0,-14.0,87.0,-49.0,-53.0,18.0
2020-04-08,-56.0,-12.0,75.0,-50.0,-53.0,18.0
2020-04-09,-53.0,-1.0,17.0,-53.0,-53.0,19.0
2020-04-10,-56.0,0.0,22.0,-53.0,-53.0,21.0
2020-04-11,-69.0,-22.0,-13.0,-59.0,-39.0,16.0
2020-04-12,-90.0,-89.0,-12.0,-67.0,-47.0,14.0
2020-04-13,-80.0,-53.0,2.0,-76.0,-88.0,32.0
2020-04-14,-61.0,-24.0,-4.0,-59.0,-53.0,21.0
2020-04-15,-61.0,-20.0,-2.0,-59.0,-54.0,22.0
2020-04-16,-57.0,-18.0,2.0,-56.0,-53.0,22.0
2020-04-17,-54.0,-10.0,21.0,-53.0,-50.0,21.0
2020-04-18,-58.0,-24.0,22.0,-47.0,-26.0,9.0
2020-04-19,-58.0,-32.0,30.0,-49.0,-25.0,8.0
2020-04-20,-51.0,-25.0,39.0,-54.0,-50.0,19.0
2020-04-21,-50.0,-20.0,70.0,-50.0,-49.0,17.0
2020-04-22,-49.0,-19.0,89.0,-49.0,-49.0,16.0
2020-04-23,-48.0,-18.0,69.0,-47.0,-49.0,16.0
2020-04-24,-48.0,-13.0,67.0,-47.0,-47.0,16.0
2020-04-25,-49.0,-16.0,46.0,-37.0,-21.0,5.0
2020-04-26,-47.0,-20.0,56.0,-39.0,-17.0,4.0
2020-04-27,-40.0,-16.0,75.0,-45.0,-45.0,15.0
2020-04-28,-40.0,-13.0,64.0,-45.0,-45.0,14.0
2020-04-29,-39.0,-11.0,52.0,-44.0,-45.0,16.0
2020-04-30,-30.0,1.0,84.0,-35.0,-44.0,12.0
2020-05-01,-49.0,-15.0,136.0,-47.0,-76.0,18.0
2020-05-02,-43.0,-9.0,35.0,-36.0,-21.0,5.0
2020-05-03,-35.0,4.0,80.0,-23.0,-6.0,-2.0
2020-05-04,-38.0,-17.0,81.0,-44.0,-42.0,14.0
2020-05-05,-36.0,-10.0,79.0,-41.0,-42.0,13.0
2020-05-06,-37.0,-8.0,49.0,-44.0,-42.0,15.0
2020-05-07,-36.0,-7.0,61.0,-41.0,-41.0,14.0
2020-05-08,-35.0,0.0,92.0,-35.0,-39.0,12.0
2020-05-09,-35.0,2.0,109.0,-23.0,-6.0,-1.0
2020-05-10,-28.0,4.0,164.0,-20.0,1.0,-4.0
2020-05-11,-35.0,-6.0,18.0,-44.0,-40.0,14.0
2020-05-12,-35.0,-2.0,23.0,-43.0,-40.0,15.0
2020-05-13,-36.0,-4.0,18.0,-42.0,-39.0,15.0
2020-05-14,-32.0,-1.0,51.0,-36.0,-38.0,12.0
2020-05-15,-34.0,7.0,65.0,-32.0,-36.0,11.0
2020-05-16,-37.0,7.0,31.0,-29.0,-7.0,3.0
2020-05-17,-38.0,4.0,30.0,-35.0,-3.0,2.0
2020-05-18,-29.0,1.0,53.0,-37.0,-35.0,12.0
2020-05-19,-29.0,4.0,41.0,-36.0,-34.0,12.0
2020-05-20,-26.0,8.0,80.0,-30.0,-34.0,10.0
2020-05-21,-29.0,6.0,34.0,-34.0,-35.0,11.0
2020-05-22,-32.0,14.0,89.0,-28.0,-31.0,8.0
2020-05-23,-32.0,15.0,144.0,-13.0,5.0,-4.0
2020-05-24,-37.0,10.0,39.0,-33.0,1.0,-1.0
2020-05-25,-28.0,9.0,95.0,-30.0,-33.0,9.0
2020-05-26,-27.0,12.0,111.0,-27.0,-30.0,8.0
2020-05-27,-25.0,14.0,126.0,-25.0,-30.0,7.0
2020-05-28,-26.0,15.0,82.0,-25.0,-30.0,8.0
2020-05-29,-29.0,18.0,98.0,-25.0,-28.0,6.0
2020-05-30,-34.0,14.0,87.0,-21.0,8.0,-2.0
2020-05-31,-25.0,21.0,153.0,-14.0,18.0,-6.0
2020-06-01,-21.0,14.0,90.0,-23.0,-27.0,7.0
2020-06-02,-24.0,15.0,89.0,-23.0,-26.0,6.0
2020-06-03,-24.0,15.0,79.0,-25.0,-26.0,7.0
2020-06-04,-22.0,17.0,93.0,-19.0,-26.0,6.0
2020-06-05,-24.0,20.0,115.0,-18.0,-24.0,3.0
2020-06-06,-27.0,21.0,126.0,-12.0,11.0,-5.0
2020-06-07,-27.0,29.0,133.0,-14.0,20.0,-9.0
2020-06-08,-24.0,11.0,81.0,-24.0,-26.0,6.0
2020-06-09,-21.0,17.0,95.0,-23.0,-25.0,5.0
2020-06-10,-17.0,21.0,128.0,-18.0,-25.0,4.0
2020-06-11,-17.0,23.0,124.0,-16.0,-25.0,3.0
2020-06-12,-20.0,25.0,159.0,-14.0,-24.0,0.0
2020-06-13,-26.0,18.0,154.0,-10.0,12.0,-7.0
2020-06-14,-25.0,18.0,107.0,-17.0,16.0,-7.0
2020-06-15,-15.0,19.0,120.0,-17.0,-25.0,3.0
2020-06-16,-13.0,24.0,155.0,-12.0,-23.0,2.0
2020-06-17,-12.0,27.0,177.0,-11.0,-23.0,1.0
2020-06-18,-14.0,26.0,142.0,-12.0,-24.0,0.0
2020-06-19,-18.0,27.0,173.0,-12.0,-24.0,-2.0
2020-06-20,-27.0,19.0,158.0,-13.0,11.0,-8.0
2020-06-21,-19.0,26.0,172.0,-9.0,19.0,-10.0
2020-06-22,-7.0,31.0,169.0,-10.0,-28.0,0.0
2020-06-23,0.0,50.0,246.0,-2.0,-28.0,-4.0
2020-06-24,-33.0,12.0,330.0,-32.0,-72.0,7.0
2020-06-25,-15.0,26.0,186.0,-14.0,-30.0,0.0
2020-06-26,-21.0,24.0,214.0,-14.0,-29.0,-1.0
2020-06-27,-31.0,14.0,170.0,-17.0,5.0,-8.0
2020-06-28,-20.0,24.0,193.0,-10.0,18.0,-11.0
2020-06-29,-10.0,27.0,133.0,-12.0,-25.0,1.0
2020-06-30,-10.0,27.0,114.0,-13.0,-25.0,2.0
2020-07-01,-10.0,24.0,132.0,-12.0,-25.0,1.0
2020-07-02,-11.0,25.0,125.0,-10.0,-26.0,1.0
2020-07-03,-17.0,25.0,152.0,-11.0,-25.0,-1.0
2020-07-04,-22.0,20.0,207.0,-6.0,7.0,-10.0
2020-07-05,-15.0,22.0,218.0,-9.0,11.0,-9.0
2020-07-06,-29.0,6.0,282.0,-32.0,-75.0,8.0
2020-07-07,-10.0,28.0,130.0,-11.0,-29.0,1.0
2020-07-08,-11.0,24.0,122.0,-14.0,-28.0,2.0
2020-07-09,-10.0,24.0,132.0,-9.0,-28.0,1.0
2020-07-10,-15.0,26.0,124.0,-11.0,-27.0,1.0
2020-07-11,-19.0,20.0,136.0,-6.0,8.0,-6.0
2020-07-12,-12.0,27.0,169.0,-4.0,16.0,-9.0
2020-07-13,-5.0,28.0,164.0,-9.0,-30.0,1.0
2020-07-14,-5.0,30.0,190.0,-5.0,-30.0,0.0
2020-07-15,-4.0,31.0,224.0,-5.0,-29.0,-1.0
2020-07-16,-7.0,30.0,195.0,-3.0,-30.0,-1.0
2020-07-17,-14.0,28.0,232.0,-4.0,-29.0,-3.0
2020-07-18,-21.0,19.0,247.0,1.0,5.0,-11.0
2020-07-19,-15.0,28.0,251.0,2.0,14.0,-14.0
2020-07-20,-7.0,31.0,228.0,-7.0,-33.0,0.0
2020-07-21,-6.0,30.0,161.0,-8.0,-32.0,1.0
2020-07-22,-8.0,27.0,127.0,-11.0,-31.0,3.0
2020-07-23,-8.0,26.0,128.0,-8.0,-31.0,2.0
2020-07-24,-15.0,26.0,155.0,-7.0,-30.0,0.0
2020-07-25,-18.0,20.0,210.0,8.0,4.0,-8.0
2020-07-26,-11.0,29.0,259.0,7.0,14.0,-12.0
2020-07-27,-7.0,29.0,205.0,-9.0,-33.0,1.0
2020-07-28,-8.0,28.0,206.0,-7.0,-31.0,1.0
2020-07-29,-7.0,29.0,183.0,-9.0,-31.0,1.0
2020-07-30,-10.0,26.0,115.0,-11.0,-33.0,2.0
2020-07-31,-16.0,25.0,128.0,-13.0,-32.0,2.0
2020-08-01,-22.0,15.0,193.0,-2.0,4.0,-7.0
2020-08-02,-13.0,24.0,247.0,1.0,14.0,-11.0
2020-08-03,-10.0,24.0,184.0,-10.0,-32.0,2.0
2020-08-04,-12.0,23.0,127.0,-13.0,-32.0,3.0
2020-08-05,-7.0,28.0,221.0,-7.0,-31.0,1.0
2020-08-06,-8.0,27.0,226.0,-2.0,-32.0,-1.0
2020-08-07,-16.0,25.0,262.0,-5.0,-32.0,-3.0
2020-08-08,-24.0,16.0,259.0,-1.0,1.0,-11.0
2020-08-09,-16.0,24.0,252.0,0.0,10.0,-14.0
2020-08-10,-6.0,30.0,235.0,-8.0,-33.0,0.0
2020-08-11,-5.0,31.0,219.0,-4.0,-32.0,-1.0
2020-08-12,-4.0,30.0,216.0,-5.0,-32.0,0.0
2020-08-13,-7.0,28.0,195.0,-3.0,-32.0,0.0
2020-08-14,-14.0,28.0,226.0,-3.0,-32.0,-2.0
2020-08-15,-25.0,17.0,247.0,2.0,-6.0,-10.0
2020-08-16,-16.0,25.0,258.0,4.0,9.0,-14.0
2020-08-17,-8.0,29.0,231.0,-6.0,-33.0,0.0
2020-08-18,-9.0,28.0,185.0,-7.0,-30.0,0.0
2020-08-19,-9.0,27.0,200.0,-7.0,-31.0,0.0
2020-08-20,-10.0,23.0,169.0,-6.0,-32.0,0.0
2020-08-21,-17.0,24.0,210.0,-7.0,-31.0,-2.0
2020-08-22,-22.0,16.0,184.0,-6.0,3.0,-8.0
2020-08-23,-15.0,23.0,175.0,4.0,9.0,-10.0
2020-08-24,-10.0,25.0,155.0,-8.0,-29.0,1.0
2020-08-25,-11.0,25.0,111.0,-10.0,-29.0,2.0
2020-08-26,-12.0,25.0,102.0,-12.0,-27.0,2.0
2020-08-27,-12.0,24.0,101.0,-8.0,-28.0,2.0
2020-08-28,-17.0,22.0,165.0,-7.0,-26.0,-1.0
2020-08-29,-24.0,15.0,88.0,-12.0,0.0,-4.0
2020-08-30,-17.0,21.0,108.0,-6.0,10.0,-6.0
2020-08-31,-9.0,33.0,65.0,-11.0,-27.0,3.0
2020-09-01,2.0,30.0,134.0,-4.0,-28.0,1.0
2020-09-02,-15.0,27.0,91.0,-6.0,-23.0,0.0
2020-09-03,-15.0,23.0,102.0,-1.0,-23.0,-2.0
2020-09-04,-19.0,22.0,129.0,-1.0,-21.0,-3.0
2020-09-05,-22.0,14.0,139.0,-3.0,3.0,-6.0
2020-09-06,-17.0,21.0,126.0,-6.0,8.0,-7.0
2020-09-07,-15.0,22.0,81.0,-7.0,-23.0,-1.0
2020-09-08,-19.0,21.0,58.0,-9.0,-23.0,-1.0
2020-09-09,-16.0,21.0,109.0,-7.0,-20.0,-3.0
2020-09-10,-15.0,24.0,82.0,-2.0,-22.0,-3.0
2020-09-11,-17.0,24.0,128.0,0.0,-20.0,-7.0
2020-09-12,-20.0,16.0,150.0,0.0,2.0,-11.0
2020-09-13,-18.0,22.0,128.0,1.0,7.0,-11.0
2020-09-14,-16.0,22.0,91.0,-7.0,-16.0,-3.0
2020-09-15,-13.0,25.0,140.0,-1.0,-15.0,-4.0
2020-09-16,-13.0,24.0,158.0,-2.0,-15.0,-4.0
2020-09-17,-19.0,20.0,48.0,-7.0,-17.0,-2.0
2020-09-18,-20.0,21.0,102.0,-4.0,-15.0,-4.0
2020-09-19,-20.0,16.0,132.0,0.0,3.0,-8.0
2020-09-20,-15.0,23.0,154.0,-1.0,9.0,-8.0
2020-09-21,-15.0,22.0,102.0,-6.0,-16.0,-2.0
2020-09-22,-16.0,23.0,101.0,-4.0,-14.0,-2.0
2020-09-23,-17.0,22.0,99.0,-7.0,-13.0,-2.0
2020-09-24,-20.0,19.0,73.0,-6.0,-14.0,-2.0
2020-09-25,-20.0,21.0,104.0,-3.0,-14.0,-3.0
2020-09-26,-22.0,16.0,126.0,-6.0,4.0,-7.0
