date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,3.0,3,-1.0,4.0,3,1
2020-02-16,4.0,2,-2.0,6.0,3,1
2020-02-17,6.0,3,2.0,5.0,5,1
2020-02-18,4.0,2,1.0,2.0,5,2
2020-02-19,2.0,-1,-3.0,1.0,4,1
2020-02-20,3.0,0,4.0,1.0,6,1
2020-02-21,0.0,1,2.0,-1.0,4,2
2020-02-22,5.0,5,1.0,5.0,7,1
2020-02-23,7.0,2,1.0,2.0,7,1
2020-02-24,7.0,4,1.0,6.0,8,1
2020-02-25,7.0,3,2.0,8.0,7,1
2020-02-26,5.0,0,1.0,6.0,6,1
2020-02-27,5.0,1,4.0,10.0,9,1
2020-02-28,4.0,4,3.0,5.0,7,2
2020-02-29,8.0,6,2.0,9.0,8,1
2020-03-01,1.0,-3,-5.0,2.0,-1,1
2020-03-02,7.0,5,2.0,6.0,6,0
2020-03-03,3.0,0,1.0,5.0,4,1
2020-03-04,2.0,0,5.0,4.0,4,1
2020-03-05,4.0,1,4.0,10.0,6,0
2020-03-06,0.0,2,5.0,7.0,6,2
2020-03-07,1.0,2,1.0,7.0,4,1
2020-03-08,3.0,1,-1.0,6.0,2,1
2020-03-09,2.0,3,-1.0,6.0,3,1
2020-03-10,1.0,0,1.0,4.0,4,1
2020-03-11,-1.0,0,1.0,5.0,2,1
2020-03-12,-1.0,-1,-1.0,2.0,4,1
2020-03-13,-3.0,1,-1.0,-1.0,4,1
2020-03-14,-1.0,3,0.0,0.0,3,2
2020-03-15,1.0,1,-1.0,-1.0,2,1
2020-03-16,0.0,3,-4.0,-1.0,-1,2
2020-03-17,-3.0,0,-1.0,-4.0,-1,2
2020-03-18,-1.0,-1,-2.0,-9.0,-3,2
2020-03-19,-4.0,0,-2.0,-4.0,2,2
2020-03-20,-5.0,4,-4.0,-3.0,8,2
2020-03-21,-1.0,7,-3.0,-5.0,1,3
2020-03-22,-5.0,1,-6.0,-6.0,-2,3
2020-03-23,-6.0,3,-6.0,-10.0,-3,3
2020-03-24,-10.0,-2,-8.0,-11.0,-6,4
2020-03-25,-14.0,-7,-7.0,-24.0,-10,4
2020-03-26,-13.0,-4,-9.0,-19.0,-2,5
2020-03-27,-14.0,-3,-13.0,-16.0,5,4
2020-03-28,-8.0,2,-8.0,-10.0,-1,5
2020-03-29,-8.0,-1,-9.0,-9.0,-5,5
2020-03-30,-8.0,0,-8.0,-13.0,-6,4
2020-03-31,-9.0,-1,-7.0,-14.0,-6,5
2020-04-01,-11.0,-3,-10.0,-16.0,-8,4
2020-04-02,-16.0,-6,-9.0,-20.0,-5,5
2020-04-03,-13.0,0,-11.0,-15.0,2,4
2020-04-04,-6.0,5,-5.0,-12.0,-2,4
2020-04-05,-5.0,2,-6.0,-12.0,-7,4
2020-04-06,-5.0,2,-7.0,-16.0,-7,5
2020-04-07,-5.0,2,-3.0,-14.0,-7,4
2020-04-08,-10.0,-2,-8.0,-17.0,-9,5
2020-04-09,-11.0,-3,-7.0,-10.0,-3,5
2020-04-10,-14.0,-2,-15.0,-18.0,1,5
2020-04-11,-9.0,-1,-8.0,-12.0,-6,6
2020-04-12,-9.0,-3,-11.0,-15.0,-10,5
2020-04-13,-8.0,-2,-8.0,-20.0,-8,5
2020-04-14,-11.0,-4,-8.0,-14.0,-8,5
2020-04-15,-10.0,-3,-9.0,-19.0,-8,5
2020-04-16,-8.0,1,-10.0,-16.0,-3,5
2020-04-17,-8.0,2,-10.0,-14.0,5,3
2020-04-18,-3.0,3,-8.0,-9.0,-3,3
2020-04-19,1.0,4,-9.0,-11.0,-7,3
2020-04-20,-2.0,2,-9.0,-15.0,-7,3
2020-04-21,-3.0,-1,-12.0,-20.0,-12,1
2020-04-22,-3.0,-1,-9.0,-16.0,-12,0
2020-04-23,-4.0,-1,-13.0,-17.0,-8,2
2020-04-24,-21.0,-9,-29.0,-27.0,-3,5
2020-04-25,-17.0,-6,-18.0,-20.0,-10,7
2020-04-26,-15.0,-9,-18.0,-17.0,-13,7
2020-04-27,-15.0,-6,-19.0,-22.0,-12,6
2020-04-28,-10.0,-4,-13.0,-14.0,-10,5
2020-04-29,-10.0,-3,-13.0,-14.0,-10,7
2020-04-30,-16.0,-9,-16.0,-20.0,-9,8
2020-05-01,-12.0,-4,-20.0,-12.0,6,3
2020-05-02,-15.0,-7,-17.0,-17.0,-14,7
2020-05-03,-14.0,-11,-20.0,-16.0,-19,6
2020-05-04,-14.0,-9,-17.0,-20.0,-14,5
2020-05-05,-12.0,-8,-14.0,-14.0,-14,6
2020-05-06,-9.0,-1,-12.0,-9.0,-13,7
2020-05-07,-11.0,-2,-14.0,-10.0,-8,9
2020-05-08,0.0,9,-11.0,-1.0,11,5
2020-05-09,-6.0,4,-8.0,-4.0,-7,7
2020-05-10,-6.0,1,-11.0,-6.0,-14,8
2020-05-11,-4.0,6,-8.0,-6.0,-12,8
2020-05-12,-5.0,4,-7.0,-2.0,-13,8
2020-05-13,-9.0,-1,-9.0,-6.0,-14,8
2020-05-14,-7.0,3,-8.0,-4.0,-7,9
2020-05-15,8.0,16,-5.0,13.0,16,5
2020-05-16,0.0,9,-2.0,9.0,-5,9
2020-05-17,-4.0,2,-11.0,-1.0,-15,8
2020-05-18,-2.0,9,-6.0,0.0,-14,7
2020-05-19,-4.0,3,-8.0,-4.0,-17,7
2020-05-20,-3.0,4,-6.0,-2.0,-19,8
2020-05-21,-3.0,5,-6.0,4.0,-15,8
2020-05-22,14.0,21,-3.0,17.0,9,3
2020-05-23,0.0,11,-4.0,6.0,-24,8
2020-05-24,-21.0,-7,-13.0,-13.0,-36,4
2020-05-25,-31.0,-12,-17.0,-28.0,-40,10
2020-05-26,-33.0,-16,-16.0,-30.0,-40,10
2020-05-27,-34.0,-18,-20.0,-30.0,-40,11
2020-05-28,-31.0,-16,-22.0,-33.0,-33,12
2020-05-29,-24.0,-7,-20.0,-24.0,-6,8
2020-05-30,-20.0,-6,-15.0,-20.0,-17,8
2020-05-31,-16.0,-6,-16.0,-22.0,-19,8
2020-06-01,-15.0,-3,-11.0,-14.0,-17,8
2020-06-02,-20.0,-8,-15.0,-18.0,-18,8
2020-06-03,-19.0,-8,-16.0,-15.0,-17,9
2020-06-04,-19.0,-6,-16.0,-19.0,-15,9
2020-06-05,-15.0,2,-15.0,-13.0,2,6
2020-06-06,-10.0,3,-10.0,-8.0,-6,7
2020-06-07,-9.0,0,-12.0,-12.0,-12,7
2020-06-08,-9.0,5,-14.0,-13.0,-10,7
2020-06-09,-11.0,0,-11.0,-10.0,-9,7
2020-06-10,-14.0,-3,-12.0,-15.0,-11,8
2020-06-11,-12.0,2,-11.0,-11.0,-4,8
2020-06-12,-12.0,4,-14.0,-12.0,6,6
2020-06-13,-6.0,7,-4.0,-4.0,-2,6
2020-06-14,-3.0,6,-10.0,-9.0,-8,7
2020-06-15,-4.0,8,-6.0,-9.0,-5,6
2020-06-16,-6.0,7,-8.0,-6.0,-5,7
2020-06-17,-7.0,6,-7.0,-9.0,-6,6
2020-06-18,-11.0,2,-11.0,-10.0,-1,6
2020-06-19,-13.0,2,-13.0,-16.0,7,5
2020-06-20,-6.0,8,-6.0,-5.0,-2,5
2020-06-21,-5.0,5,-11.0,-9.0,-6,6
2020-06-22,-2.0,11,-3.0,-6.0,-6,6
2020-06-23,-4.0,9,-5.0,-6.0,-6,6
2020-06-24,-6.0,8,-8.0,-4.0,-6,6
2020-06-25,-4.0,10,-4.0,-1.0,-1,5
2020-06-26,-9.0,6,-9.0,-6.0,4,4
2020-06-27,-4.0,8,-6.0,0.0,-4,5
2020-06-28,-2.0,6,-8.0,-3.0,-8,5
2020-06-29,-2.0,11,-8.0,-6.0,-6,5
2020-06-30,-2.0,11,-6.0,6.0,-7,5
2020-07-01,-5.0,7,-7.0,0.0,-7,5
2020-07-02,-5.0,9,-8.0,2.0,-4,6
2020-07-03,-5.0,9,-8.0,2.0,4,5
2020-07-04,-1.0,13,-3.0,6.0,-3,4
2020-07-05,3.0,12,1.0,7.0,-9,4
2020-07-06,5.0,17,-3.0,6.0,-5,4
2020-07-07,5.0,15,-3.0,7.0,-6,5
2020-07-08,-2.0,10,-4.0,3.0,-6,4
2020-07-09,-1.0,10,-1.0,6.0,-3,5
2020-07-10,-1.0,13,-1.0,5.0,3,4
2020-07-11,3.0,16,1.0,10.0,-1,4
2020-07-12,7.0,14,-1.0,6.0,-6,4
2020-07-13,9.0,18,1.0,12.0,-4,4
2020-07-14,6.0,15,-1.0,12.0,-5,4
2020-07-15,4.0,13,-4.0,7.0,-7,4
2020-07-16,8.0,17,1.0,10.0,-2,4
2020-07-17,5.0,17,-1.0,8.0,3,3
2020-07-18,12.0,23,4.0,16.0,1,3
2020-07-19,15.0,21,4.0,12.0,-4,4
2020-07-20,15.0,26,4.0,14.0,-5,3
2020-07-21,1.0,9,-5.0,7.0,-17,0
2020-07-22,3.0,12,-5.0,12.0,-13,-2
2020-07-23,10.0,18,5.0,21.0,-2,4
2020-07-24,12.0,21,3.0,17.0,3,4
2020-07-25,20.0,28,12.0,29.0,-2,3
2020-07-26,19.0,22,4.0,22.0,-9,3
2020-07-27,26.0,33,13.0,25.0,-7,2
2020-07-28,26.0,33,17.0,33.0,-9,2
2020-07-29,26.0,32,10.0,28.0,-16,1
2020-07-30,9.0,19,-6.0,5.0,-33,7
2020-07-31,-3.0,14,13.0,15.0,-15,-2
2020-08-01,-16.0,2,17.0,-9.0,-38,5
2020-08-02,-11.0,-1,14.0,-14.0,-46,5
2020-08-03,-9.0,3,17.0,-13.0,-44,5
2020-08-04,-7.0,4,17.0,-8.0,-42,6
2020-08-05,-5.0,4,7.0,-8.0,-40,5
2020-08-06,-7.0,2,4.0,-7.0,-34,5
2020-08-07,1.0,10,9.0,0.0,-11,1
2020-08-08,7.0,17,10.0,10.0,-15,3
